454,163,231,0.000744581
2569,1360,1357,0.00362763
3864,576,1447,0.00339636
48,1263,14,0.00104702
2610,1489,1395,0.000649938
766,284,285,0.0030892
2299,1147,1144,0.00731835
845,409,326,0.000581401
429,1285,155,0.00015471
277,1707,94,9.30009e-05
884,581,342,0.00402776
1651,725,1141,0.000491674
4819,1597,1602,0.000150456
1375,997,574,0.00312301
4207,1000,845,0.00364552
525,208,189,0.000412541
3628,370,2028,0.000122485
2527,1850,1332,0.00128753
1894,1995,865,0.00238991
1444,819,610,0.000855013
4480,1143,1912,0.00164373
1179,1195,486,0.00364196
4939,1825,1864,0.00457067
3637,376,551,0.00248223
176,1300,62,0.000136373
1148,475,470,0.00152005
4642,1347,1589,9.94904e-05
2559,1350,2047,0.00260719
4602,1307,1310,0.00225778
1120,450,1583,0.000895373
4820,1597,1598,0.000247105
2488,1990,1307,0.000161118
1924,1205,880,0.00228561
3596,343,770,0.000251233
4527,1194,1851,0.000607126
315,108,1800,0.000961851
2533,1485,1334,0.000843722
1581,682,1920,0.00272867
1842,1443,837,0.00169632
3960,618,789,0.00366733
3903,571,1561,0.00432145
3353,141,501,0.00143754
4766,1497,1703,0.0014123
3490,238,490,0.00013977
1597,1545,694,0.00675715
1835,1564,833,0.00364225
683,1272,251,0.00404004
24,1596,5,0.00071746
4582,1277,2045,0.0009043
2452,1278,1277,0.00371554
795,297,298,0.00082006
3505,248,930,0.0014546
4802,1559,1994,0.00329981
1549,688,665,0.00166399
4746,1474,1478,0.00414635
3539,291,1029,8.98143e-05
2818,1606,1604,0.000934322
820,1801,310,0.00028163
3764,1234,474,0.00313113
3031,1989,1885,0.00235255
1101,603,441,0.00378614
1624,709,1463,0.0014839
1489,640,632,0.000129606
3838,527,677,0.00341588
4405,1073,1075,0.000590334
2280,1129,1128,0.00024059
1944,896,893,0.000898385
1234,1308,511,0.00276672
1481,630,967,9.90223e-05
1949,896,897,0.000173477
2374,1259,1196,0.000144623
2849,1644,1643,0.00159472
4490,1152,1954,0.000865172
1129,2061,455,0.000741979
4137,785,1135,0.000388171
1045,449,417,0.00304884
1934,1524,885,0.00297169
1864,1286,847,0.00110691
1042,1798,415,0.000372125
969,1304,380,0.00233881
777,291,288,0.00326411
1187,1220,490,0.000553783
463,2024,167,0.0028074
4206,1465,868,7.50096e-05
3287,88,665,0.000200384
1619,911,706,0.00302963
720,719,264,0.000457729
3703,421,501,0.00288058
1935,1937,885,0.000182157
298,103,1252,0.00182949
524,750,189,0.00147219
4441,1104,1105,0.000393531
3082,1967,1976,0.000169202
3322,724,116,0.00613027
3067,1943,2024,0.00368013
2085,982,981,0.000610449
4255,1625,898,0.00154442
4329,982,983,0.000367828
1281,533,731,0.00119656
2470,1297,1294,0.000248997
1674,1075,733,0.00135442
4095,741,1827,7.59024e-05
2172,1051,1049,0.000207702
4904,1753,1759,0.000672383
474,172,171,0.00195664
1482,2054,630,0.00106192
3385,165,711,0.000698039
2838,1629,1852,0.00128353
2684,1522,1467,0.00244036
1362,568,1221,0.000447178
2986,1952,1816,0.000184082
4676,1445,1388,0.000958773
4542,1206,1601,0.00106837
4846,1638,1841,0.0092102
4327,981,1076,0.00141961
391,406,138,0.0002113
555,202,204,0.000327056
1296,692,540,0.00112358
4166,810,922,0.00320052
1036,411,1927,0.00037279
3000,1882,1831,0.00109591
4049,698,705,0.00224719
4634,1462,1336,0.00210283
