3930,5774,1
4329,1205,1
4329,1206,1
1453,428,1
2094,1402,1
432,1190,1
3747,5541,1
1716,1717,2
5982,5712,3
4801,448,3
1039,1039,110
5943,408,1
5826,1995,2
3408,4853,1
1337,5798,6
431,4586,1
985,4426,8
1934,5037,17
1529,3352,8
5826,1996,2
2683,2928,1
3408,5108,2
3815,4441,1
5363,1947,1
4818,5581,3
4315,760,1
2624,2624,3
2624,2626,1
3615,5905,2
4447,3630,1
4055,1403,4
322,5567,3
2535,2395,2
2112,2625,5
4061,2538,2
2112,2626,24
2564,4302,2
5368,2566,17
1352,4377,8
267,5549,1
215,215,5
5150,5153,1
3211,4911,3
1840,5401,3
5150,5150,15
3002,5590,59
1800,5215,11
3002,5595,5
6036,6036,10
4029,2113,2
4029,2114,5
4029,2116,1
4029,2117,3
3211,5067,2
3211,5066,8
5477,5477,4
332,4914,2
3070,1613,19
3299,2937,1
3070,1616,3
3070,1615,26
3070,1614,33
1022,353,9
2817,2093,1
1568,4258,2
2081,2081,18
1568,3702,1
1549,355,4
3496,4221,1
3786,1535,2
84,3944,1
2129,1943,2
4850,2533,1
696,5995,17
3461,3831,1
2545,319,1
2418,5422,2
4938,2565,5
2041,2041,16
2041,2046,2
1721,778,1
4449,3098,1
3630,5192,1
1316,49,1
1018,4958,1
3091,5176,1
5261,1171,1
4258,2885,4
1467,2880,1
1000,2174,1
2885,3049,1
3133,189,1
1000,2171,1
1932,1818,5
2094,2696,1
6123,3891,1
4609,4055,1
6123,3892,1
292,840,1
5735,6059,7
1039,3306,1
2447,3661,73
4348,5033,3
2520,2302,3
2520,2301,2
5351,1353,11
2496,2746,4
4921,3953,1
4444,4454,5
4444,4455,4
643,3295,1
3951,1606,1
1423,1088,3
3608,3440,3
1818,2456,1
2109,2024,1
1839,4969,1
1534,598,1
3171,3173,1
1423,1085,8
1423,1087,1
5034,253,1
1613,3839,1
1549,4710,1
1734,5368,2
4232,2414,1
3791,5938,1
2078,1782,3
4656,4656,69
2078,1784,1
5669,5681,1
4573,5968,1
1745,830,1
1468,4758,2
2720,147,4
3747,2903,1
1602,5826,1
3747,2904,8
837,5032,1
837,5033,2
5178,4758,1
6114,1383,1
5360,2027,1
5058,4378,2
3313,5563,1
3948,3799,1
3313,5566,3
794,3736,1
4645,1967,1
3543,5928,1
5115,4457,1
5486,2816,1
5400,3223,1
3543,5927,7
4654,668,5
2887,3045,1
4059,1969,51
3373,5821,3
79,992,3
79,993,2
841,674,3
3019,2687,4
6107,2816,1
5332,1842,1
3697,3858,1
748,2527,1
1498,5699,2
2947,265,1
1147,2114,1
1176,4579,5
660,704,1
2936,1991,1
5367,1995,1
1328,1173,6
2569,2708,2
2241,5967,1
3134,6121,1
2596,3942,8
5905,5218,2
3741,2912,1
4038,4263,1
56,2784,12
5255,2349,1
934,215,1
2898,2552,1
5105,3329,24
3055,4379,1
4150,3532,16
4656,2714,1
721,1259,1
1847,3850,1
1052,2912,1
4029,4221,2
1961,1961,5
1516,640,1
3610,4454,4
389,4096,28
1718,3364,1
2660,2417,1
2249,5713,9
2249,5712,5
3117,4694,4
336,548,1
3531,335,20
182,643,2
1835,1833,1
550,3630,53
5837,5202,2
5837,5201,2
1351,4377,2
2932,827,1
963,4420,6
215,5853,4
5883,5591,2
3600,691,1
5232,1794,1
4258,5310,1
4702,4702,31
5060,2556,2
5060,2555,1
1827,4469,1
4823,2188,1
2806,3587,1
5178,3018,2
5629,4526,1
4883,642,1
3142,3134,1
1033,5297,1
599,3944,1
753,2962,4
5534,5177,2
2041,5089,1
3899,1801,1
5534,5178,20
2530,3867,1
3918,3323,1
1400,4978,1
4913,1736,17
4913,1735,1
4913,1734,4
879,723,1
2160,4646,1
4127,1549,3
3537,1541,1
5845,1206,1
1000,1004,5
108,5391,5
2273,5233,2
2273,5232,4
5737,2470,6
835,1736,1
4127,3031,1
5308,2188,13
1410,5346,12
2416,2561,7
2416,2560,61
4657,1316,3
4657,1317,3
2117,586,3
4884,676,9
517,516,2
517,517,42
3549,3550,3
1931,637,1
1931,636,1
5943,1470,2
321,2757,2
4354,3319,1
1810,2735,1
5782,5558,2
3110,5645,1
3110,5644,1
4737,4737,7
2114,585,5
1785,737,1
2114,587,2
377,2338,2
1036,4255,3
2330,2299,1
2732,5448,2
3349,37,82
2702,5020,2
3582,2436,1
648,5554,2
2936,3297,1
2022,2023,1
2022,2022,3
3832,3002,44
1398,1399,2
883,1963,5
2022,2024,7
4926,2056,1
1861,1860,7
3280,3137,1
3964,3964,6
6062,3402,1
26,3351,3
5694,5668,1
4945,2020,1
255,256,3
3457,6118,1
255,255,53
2297,1064,1
4883,2195,1
3107,5418,1
6000,2269,1
1534,1535,21
1752,4926,1
1752,4921,2
1534,1532,17
255,258,4
3547,3545,1
939,2803,2
3547,3547,4
6046,6046,1
4607,1243,1
4607,1242,21
4607,1241,19
1798,3334,1
266,268,1
3115,5649,3
4115,3685,1
3123,2397,1
1750,1755,1
551,3629,1
743,241,2
3381,3386,1
3381,3382,4
355,1550,6
3203,3345,1
3381,3381,14
2482,2552,1
2887,3197,1
5462,5364,5
1750,1750,33
1983,1795,1
5143,1018,9
5143,1019,4
378,377,1
378,376,2
3083,1011,3
3382,5368,12
2641,1079,3
6124,1948,1
4404,2304,1
2641,1075,1
4404,2306,12
5032,1810,1
4051,4944,1
378,378,46
3090,3091,4
3090,3090,22
1205,783,2
4482,2000,1
2983,743,5
2330,2748,1
3794,3389,1
2983,745,3
1567,3311,1
5715,5368,1
4625,4714,18
2872,1874,3
3996,1844,1
5937,5326,4
3694,3460,1
5779,5293,1
5779,5292,1
4403,940,1
5779,5290,1
3873,3870,3
3873,3871,1
5747,687,3
3873,3873,28
4403,948,1
5321,1079,5
3900,3101,2
3900,3100,2
3101,5139,1
5390,5928,1
5853,631,1
6113,1578,1
5108,247,9
3140,1932,2
5390,5927,1
1878,1878,3
5173,3280,3
5173,3281,1
3972,1036,1
3972,1037,2
5181,3906,9
3280,1406,1
1183,4116,1
2886,999,1
5964,5964,1
169,154,1
2272,5229,1
5142,3854,1
4227,4229,4
2272,5223,1
1267,3495,6
14,4100,1
66,329,1
2406,2406,17
5853,630,1
1721,3352,9
4256,182,5
4256,183,10
2948,5565,1
2948,5566,12
2623,2623,2
3840,6088,8
3840,6089,1
2948,5563,3
5590,3839,1
4891,5406,1
3938,5990,1
5590,3832,1
4891,5409,1
1986,1801,1
4912,5032,1
5027,123,4
4267,5521,1
2152,4884,6
2152,4883,22
2280,5326,1
4981,4082,1
5108,5107,4
5108,5106,6
3134,3446,1
1981,16,1
5108,5108,582
4139,4209,3
26,335,21
26,336,21
2818,2417,149
2818,2416,20
1096,2482,1
26,338,3
2039,1045,1
2039,1046,1
2039,1047,1
4454,5121,1
4984,4986,15
4984,4984,18
3846,5898,1
2416,5308,3
1836,4968,11
1836,4969,1
1836,4966,4
1836,4967,8
5912,5912,1
3382,1995,17
3382,1996,15
598,596,7
598,595,3
3354,3354,4
5353,5974,3
3131,4096,1
2785,3665,14
598,599,2
598,598,22
3705,3368,4
2614,855,1
2936,1381,2
5435,2587,4
1630,1497,1
2936,1382,15
3133,3130,2
639,2704,3
5484,2812,1
5275,1445,1
4465,1023,6
4465,1022,7
1947,14,7
1303,383,1
5566,587,2
4379,4378,7
4379,4379,99
3133,3135,1
2319,2321,5
1999,685,3
4859,5152,2
2115,5873,1
3425,5853,4
2785,3592,15
2785,3593,7
5131,1688,1
3144,469,1
2634,627,1
837,837,49
1736,3116,2
4259,644,2
4993,3480,2
2368,1490,4
2823,2563,1
643,334,1
2180,3093,2
79,1490,1
676,3488,4
643,333,2
4339,4337,1
869,3943,1
5182,2479,5
5887,4911,1
4139,4143,2
5521,2403,2
1246,3547,1
107,2368,3
4313,5462,2
2096,4117,3
5880,5880,5
3071,5283,3
3650,4824,1
3650,4823,24
3650,4822,5
2616,5296,3
599,4227,4
3488,5211,2
3615,3514,3
1467,3044,1
1868,2146,1
3053,1878,1
2930,2129,14
4898,1339,1
450,4260,5
3053,1876,1
1543,1543,2
383,2532,2
3952,4270,2
1800,5982,2
383,2535,1
4122,3832,1
3655,132,3
2628,18,1
4971,2275,3
2392,961,1
1747,3953,4
1747,3952,1
1747,3951,3
210,3373,1
2088,5139,3
1925,5181,1
3345,4378,1
3427,4317,1
6,994,10
2447,2732,1
2124,5564,9
5548,3312,1
5548,3313,2
5548,3311,1
2710,3694,1
3986,274,3
2773,3274,2
2485,3532,1
1802,2892,1
3032,4846,12
5106,5699,1
4006,2463,1
3000,5590,9
3000,5595,16
73,181,1
73,182,1
4250,1874,2
3188,1902,1
3408,2120,1
2361,1980,1
4276,3373,1
5801,110,1
5801,111,2
5800,1072,1
3087,1775,1
2573,2634,1
459,1975,1
1808,2740,1
2768,3753,1
4313,4411,1
4846,5715,6
2331,2329,4
2130,1900,1
5398,1797,2
3472,3472,10
66,58,1
66,59,1
3472,3474,4
1902,5013,1
66,56,9
66,57,5
1428,3538,1
4320,2573,17
4320,2574,2
4946,1000,1
3493,3494,1
3472,2708,1
248,3637,1
5140,5140,44
4977,4983,1
4100,3338,3
4221,277,6
4221,275,2
1620,6053,1
2638,4718,11
230,2710,1
338,3872,1
517,3374,1
517,3375,4
517,3379,1
1754,3791,1
5810,3377,4
2096,3564,1
2096,3565,4
5314,1300,3
1470,1470,35
1470,1473,1
1470,1472,1
5784,3929,1
1957,1956,1
1957,1957,19
1706,4895,4
2634,366,6
4444,992,7
4418,961,2
2324,6109,1
2662,2222,1
3670,2714,1
2259,342,2
3143,3169,2
1472,4759,1
108,1240,1
3578,484,1
3177,5669,3
3411,3411,3
3853,6100,1
4923,3568,2
1932,2154,5
1932,2155,11
1381,2936,4
4029,4029,2
4511,1087,1
1814,5183,1
2008,3789,1
5965,4454,1
3134,2380,1
3936,329,1
4829,3799,1
3035,2889,1
2341,5984,1
668,668,139
1300,3498,4
5171,3796,4
3839,735,30
5925,3631,1
5171,3794,1
3558,5933,1
5561,974,1
6000,1868,2
5977,1662,1
1941,4736,4
1870,1870,9
5793,3319,3
3693,6020,1
3197,1282,1
1754,1754,11
5183,5819,1
1754,445,2
5877,5391,1
2106,5153,2
1036,3552,2
2106,5151,6
2106,5150,2
4686,4686,4
3584,3498,9
4753,4753,43
2090,4455,3
2090,4457,1
664,2978,1
4313,3280,2
4596,782,1
2574,4232,1
2121,2920,1
3726,1342,1
2104,5956,1
4799,3815,1
3726,1348,3
4747,3645,1
3960,3088,1
4176,4515,7
4176,4514,3
4176,4516,1
457,5626,1
1700,1874,1
4461,3552,1
4082,3996,10
3109,3109,1
5944,3578,7
5944,3579,6
2879,3442,1
2616,1505,1
3025,4719,2
3828,5873,2
5448,1486,1
24,3347,1
2626,2218,3
5104,2023,1
5104,2022,1
5104,2020,6
2094,4576,7
5104,2024,1
1637,1642,1
2347,1453,2
1542,1542,31
1784,2275,1
1099,5939,2
3370,419,1
4609,80,1
3464,3503,1
2188,2429,1
4759,2547,4
4759,2549,5
4759,2548,7
3807,3815,1
3651,1509,1
480,3533,1
480,3532,1
3130,3133,1
1330,704,2
3107,4123,1
2704,2315,2
5007,5404,3
4027,170,7
5582,5937,2
1031,5299,1
4494,6059,1
5793,4303,4
2242,6051,1
1772,1975,4
2130,5640,4
2395,3680,1
2532,5352,15
2532,5353,11
2043,1629,3
1612,4846,1
2900,4247,1
2114,275,1
4355,3943,1
3285,2129,1
1069,1616,1
1842,5401,1
4865,4924,1
1874,2870,1
3009,1686,2
2707,676,3
5411,4770,1
3844,1678,1
2111,1046,1
5370,5448,4
4661,678,4
5548,5157,1
1178,2078,2
2824,5639,3
2418,2675,2
2418,2674,1
3652,954,1
1633,1741,2
24,2368,1
1316,3967,1
5800,3625,1
4429,4429,4
3369,3369,3
4973,4237,2
3473,5247,1
151,5402,1
1660,1022,1
1985,3899,3
1313,5390,1
2257,5658,6
3495,1006,1
3495,1005,8
3495,1003,1
3495,1000,2
6086,4984,1
