625,211,2
3319,4210,1
1396,3079,12
2049,2241,10
1163,1333,60
1163,1334,5
2520,2521,4
2520,2520,23
441,150,1
3034,3594,1
3881,1121,1
70,87,1
4377,1397,1
3881,1122,1
1500,1488,36
4042,1412,2
4042,1411,1
4042,1410,13
4183,1827,10
1669,4734,2
2665,2871,10
2665,2870,1
4772,563,71
166,3237,36
166,3239,88
166,3238,449
4709,3790,1
621,4448,5
370,373,1
2378,2378,33
370,371,2
370,370,136
2164,2219,1
956,4413,1
3995,1515,7
4625,2220,3
1694,4424,6
2009,2009,19
2196,2378,1
2967,4087,1
2967,4086,5
892,76,1
1381,4855,1
275,278,2
3324,1,1
4051,884,1
505,1837,14
1181,4024,1
336,1325,2
4737,4734,2
2880,5005,1
775,3028,17
4737,4737,18
275,277,204
275,275,275
4143,4223,2
4478,2044,3
3918,2777,1
1686,3289,3
1625,1829,2
3944,2955,4
1938,1939,1
1938,1938,43
1524,1523,5
1120,3061,1
2951,4984,1
1908,32,1
947,1965,5
753,3996,1
4424,2226,1
1895,29,1
168,940,1
2940,2219,1
924,1174,2
3874,1672,1
924,1173,1
3445,4224,3
4185,2998,8
481,481,9
3742,3740,2
4996,1638,2
2714,4475,1
3326,3940,1
1816,1252,1
4185,2994,1
4185,2997,1
4185,2996,1
3664,1598,1
2116,1359,2
4793,2745,1
1307,1310,12
85,2358,5
3432,3972,10
3795,2917,1
3432,3971,146
4875,563,1
3616,3729,1
159,804,1
3616,3724,3
1509,1669,1
3789,1572,1
4803,4608,3
3105,4389,1
1353,3610,3
4200,1877,1
4803,4603,1
172,3835,19
2342,1146,1
161,1627,55
1647,4939,1
3105,3769,1
365,3258,2
2951,4917,4
4260,1397,9
3934,2852,2
3934,2855,2
77,2674,1
2269,3731,1
2103,3065,225
2269,3736,18
2313,2309,4
77,2673,5
4310,4654,1
2703,2703,2
1959,2159,1
4634,4618,10
4318,2311,20
4401,2196,64
1452,3366,32
4757,1247,18
4340,2157,2
4062,2263,1
2822,4824,4
1598,4478,6
3394,3397,20
3271,3117,4
3394,3395,1
3394,3394,85
4757,1249,6
3599,4756,1
4401,2198,246
3788,164,2
4318,1057,1
1491,389,1
4555,3681,10
4149,2654,7
4149,2655,1
1115,3746,175
812,2483,7
831,3561,3
1491,387,1
4910,2840,2
2407,2779,10
1933,1333,37
1933,1334,8
2312,2312,25
2312,2311,4
2312,2310,8
4197,3141,9
2431,76,1
4112,296,1
390,951,12
1743,1697,1
3684,3397,2
390,952,52
3825,1452,1
3684,3393,1
3897,4245,1
2188,4624,1
1173,2299,11
1673,375,7
1032,1186,3
704,704,20
704,703,7
283,3968,1
3788,355,3
4566,1740,3
3635,577,15
1675,216,6
1689,3428,74
1689,3429,1
2911,135,2
4487,3756,1
2117,865,2
179,1672,7
179,1671,1
188,4490,1
4967,1873,1
297,1746,5
1395,5010,1
4487,1132,1
4607,866,4
3298,3702,6
2257,2256,39
2257,2257,293
2257,2255,32
728,3268,1
